state,Year,features__tweets
 Alabama,2016,1
 Arizona,2016,2
 Arizona,2017,1
 Arizona,2018,3
 California,2015,16
 California,2016,12
 California,2017,5
 California,2018,12
 Colorado,2015,3
 Colorado,2016,1
 Colorado,2017,2
 Colorado,2018,1
 D.C.,2015,4
 D.C.,2016,3
 D.C.,2017,8
 Florida,2015,2
 Florida,2016,6
 Florida,2017,1
 Florida,2018,6
 Georgia,2015,1
 Georgia,2018,2
 Illinois,2015,5
 Illinois,2016,4
 Illinois,2017,1
 Illinois,2018,4
 Indiana,2016,1
 Indiana,2017,1
 Iowa,2016,1
 Kansas,2015,2
 Kansas,2017,1
 Kentucky,2016,3
 Louisiana,2016,1
 Louisiana,2017,1
 Maryland,2018,3
 Massachusetts,2015,5
 Massachusetts,2016,3
 Massachusetts,2017,3
 Massachusetts,2018,3
 Michigan,2015,1
 Michigan,2016,2
 Michigan,2017,2
 Michigan,2018,1
 Minnesota,2015,2
 Minnesota,2017,1
 Missouri,2015,2
 Missouri,2017,1
 Montana,2015,1
 Montana,2017,1
 Nevada,2016,1
 Nevada,2017,1
 Nevada,2018,1
 New Hampshire,2016,1
 New Jersey,2015,1
 New Jersey,2017,1
 New Mexico,2015,1
 New Mexico,2016,1
 New Mexico,2018,1
 New York,2015,12
 New York,2016,7
 New York,2017,4
 New York,2018,5
 North Carolina,2015,4
 North Carolina,2016,1
 North Carolina,2018,1
 Ohio,2015,2
 Ohio,2016,1
 Ohio,2017,1
 Ohio,2018,3
 Oklahoma,2015,1
 Oklahoma,2016,2
 Oklahoma,2018,2
 Oregon,2016,3
 Oregon,2018,3
 Pennsylvania,2015,8
 Pennsylvania,2017,2
 Pennsylvania,2018,5
 Puerto Rico,2016,1
 South Carolina,2016,2
 South Dakota,2015,1
 Tennessee,2017,1
 Texas,2015,6
 Texas,2016,6
 Texas,2017,4
 Texas,2018,9
 Utah,2016,4
 Utah,2018,4
 Vermont,2017,3
 Virginia,2015,2
 Virginia,2016,2
 Virginia,2017,1
 Virginia,2018,2
 Washington,2015,6
 Washington,2016,6
 Washington,2017,4
 Washington,2018,5
 West Virginia,2015,1
 West Virginia,2018,1
 Wisconsin,2016,2
 Wisconsin,2018,2
11216,2018,1
11706,2017,1
41746,2018,1
49623,2017,1
75261,2018,2
77474,2018,1
92386,2018,1
94027,2017,1
Arizona,2015,3
Arizona,2017,1
California,2015,6
California,2016,9
California,2017,15
California,2018,11
Carolina,2016,1
Colorado,2015,1
Colorado,2016,5
Colorado,2017,2
Colorado,2018,2
Connecticut,2015,1
Connecticut,2016,3
Connecticut,2017,1
Delaware,2015,1
Florida,2015,3
Florida,2016,5
Florida,2017,7
Florida,2018,5
Georgia,2015,1
Hawaii,2015,1
Hawaii,2017,1
Idaho,2016,1
Illinois,2015,2
Illinois,2016,1
Illinois,2017,2
Illinois,2018,3
Indiana,2015,1
Indiana,2016,2
Iowa,2016,2
Iowa,2017,1
Iowa,2018,3
Kansas,2015,3
Kentucky,2018,3
Louisiana,2018,1
Maine,2015,1
Maine,2018,2
Maryland,2015,2
Maryland,2017,5
Maryland,2018,4
Massachusetts,2016,4
Massachusetts,2017,1
Massachusetts,2018,1
Michigan,2015,1
Michigan,2016,3
Michigan,2017,2
Michigan,2018,2
Minnesota,2015,4
Minnesota,2016,1
Minnesota,2018,4
Missouri,2017,2
Missouri,2018,1
Nebraska,2017,1
Nevada,2017,1
New Hampshire,2018,1
New Jersey,2015,2
New Jersey,2016,1
New Jersey,2018,3
New Mexico,2015,2
New Mexico,2017,1
New Mexico,2018,1
New York,2015,1
New York,2016,10
New York,2017,1
New York,2018,2
North Carolina,2016,2
North Carolina,2017,1
North Carolina,2018,1
Ohio,2016,3
Ohio,2017,1
Ohio,2018,2
Oklahoma,2015,1
Oklahoma,2016,1
Oregon,2018,2
Pennsylvania,2015,5
Pennsylvania,2016,2
Pennsylvania,2017,3
Pennsylvania,2018,2
Puerto Rico,2018,1
South Carolina,2015,1
South Carolina,2016,1
South Carolina,2018,2
Tennessee,2016,1
Tennessee,2018,1
Texas,2015,1
Texas,2016,5
Texas,2017,3
Texas,2018,4
Utah,2017,1
Vermont,2016,1
Vermont,2017,1
Virginia,2016,2
Virginia,2018,1
Washington,2015,3
Washington,2016,3
Washington,2018,1
West Virginia,2016,1
West Virginia,2018,1
Wisconsin,2016,1
Wisconsin,2018,4
 Alabama,2015,1
 Alabama,2017,2
 Alaska,2017,1
 Alaska,2018,1
 Arizona,2016,3
 Arizona,2018,4
 California,2015,9
 California,2016,17
 California,2017,10
 California,2018,6
 Colorado,2016,4
 Colorado,2017,2
 Connecticut,2017,1
 Connecticut,2018,1
 D.C.,2015,3
 D.C.,2016,1
 D.C.,2018,1
 Florida,2015,2
 Florida,2016,5
 Florida,2017,4
 Florida,2018,5
 Georgia,2015,3
 Georgia,2016,1
 Georgia,2017,3
 Georgia,2018,4
 Idaho,2016,1
 Idaho,2017,1
 Idaho,2018,2
 Illinois,2015,1
 Illinois,2016,2
 Illinois,2017,4
 Illinois,2018,1
 Indiana,2015,2
 Indiana,2017,2
 Iowa,2017,1
 Iowa,2018,1
 Kansas,2015,1
 Kansas,2016,1
 Kansas,2017,1
 Kentucky,2017,1
 Louisiana,2017,3
 Maine,2015,1
 Maryland,2015,1
 Massachusetts,2015,3
 Massachusetts,2016,1
 Massachusetts,2018,2
 Michigan,2015,1
 Michigan,2016,2
 Michigan,2017,1
 Michigan,2018,6
 Minnesota,2016,3
 Minnesota,2017,2
 Mississippi,2017,1
 Missouri,2015,2
 Missouri,2016,2
 Montana,2015,1
 Nebraska,2015,1
 Nevada,2015,2
 Nevada,2016,1
 Nevada,2018,3
 New Hampshire,2017,2
 New Jersey,2017,2
 New Mexico,2016,2
 New Mexico,2017,1
 New Mexico,2018,1
 New York,2015,6
 New York,2016,9
 New York,2017,14
 New York,2018,8
 North Carolina,2015,3
 North Carolina,2016,1
 North Carolina,2017,1
 North Carolina,2018,3
 North Dakota,2015,1
 Ohio,2016,1
 Ohio,2017,3
 Ohio,2018,4
 Oklahoma,2015,1
 Oklahoma,2017,2
 Oklahoma,2018,1
 Oregon,2015,3
 Oregon,2016,3
 Oregon,2017,1
 Oregon,2018,3
 Pennsylvania,2016,4
 Pennsylvania,2017,2
 Pennsylvania,2018,1
 South Carolina,2016,2
 South Carolina,2017,2
 South Carolina,2018,1
 Tennessee,2016,2
 Tennessee,2017,2
 Texas,2015,7
 Texas,2016,8
 Texas,2017,12
 Texas,2018,10
 Utah,2015,1
 Virginia,2015,1
 Virginia,2016,1
 Washington,2015,4
 Washington,2016,4
 Washington,2017,4
 Washington,2018,2
 West Virginia,2016,1
 Wisconsin,2015,1
 Wisconsin,2016,1
 Wisconsin,2017,2
 Wisconsin,2018,1
 Wyoming,2015,1
 Wyoming,2016,1
 Wyoming,2018,1
11706,2017,1
16640,2017,1
20619,2017,1
23805,2018,1
29203,2017,1
34232,2018,1
38117,2018,1
3836,2018,1
41643,2018,1
44039,2017,1
49091,2018,1
53233,2017,1
56241,2017,1
7601,2018,1
76011,2017,1
80905,2017,1
81650,2018,1
83702,2017,1
Akransas,2016,1
Alabama,2016,1
Alabama,2018,1
Alaska,2016,1
Arizona,2016,1
Arizona,2018,2
Arkansas,2017,1
Arkansas,2018,1
California,2015,5
California,2016,9
California,2017,14
California,2018,14
Colorado,2015,1
Colorado,2016,2
Colorado,2017,2
Colorado,2018,1
Connecticut,2016,1
D.C.,2015,1
D.C.,2018,2
Florida,2015,7
Florida,2016,5
Florida,2017,6
Florida,2018,3
Georgia,2018,4
Hawaii,2016,3
Hawaii,2017,1
Hawaii,2018,1
Houston,2017,1
Idaho,2016,2
Idaho,2018,2
Illinois,2015,2
Illinois,2016,4
Illinois,2017,3
Illinois,2018,1
Indiana,2015,2
Indiana,2016,2
Indiana,2017,2
Indiana,2018,1
Kansas,2017,1
Kentucky,2017,1
Louisiana,2017,2
Louisiana,2018,1
Maryland,2017,3
Maryland,2018,2
Massachusetts,2015,1
Massachusetts,2017,1
Michigan,2017,2
Michigan,2018,2
Minnesota,2017,1
Missouri,2015,1
Missouri,2017,2
Missouri,2018,1
Montana,2016,2
Nebraska,2018,2
Nevada,2018,1
New Hampshire,2016,1
New Jersey,2015,3
New Jersey,2016,1
New Jersey,2017,3
New Mexico,2017,1
New York,2015,2
New York,2016,2
New York,2017,1
New York,2018,4
North Carolina,2015,2
North Carolina,2016,3
North Carolina,2017,2
North Carolina,2018,3
Ohio,2017,4
Ohio,2018,3
Oklahoma,2017,1
Oklahoma,2018,1
Oregon,2015,1
Oregon,2016,2
Oregon,2017,1
Pennsylvania,2016,2
Pennsylvania,2017,5
Pennsylvania,2018,3
South Carolina,2017,1
Tennesee,2015,1
Tennessee,2017,1
Tennessee,2018,1
Texas,2015,5
Texas,2016,8
Texas,2017,5
Texas,2018,8
Utah,2017,1
Vermont,2016,1
Virgina,2017,1
Virgina,2018,3
Virginia,2015,2
Virginia,2016,3
Virginia,2017,2
Washington,2016,1
Washington,2018,1
Wisconsin,2015,2
Wisconsin,2017,1
Wisconsin,2018,1